"ZIP_Code","NAME"
"8600000US02453","02453"
"8600000US02457","02457"
"8600000US02458","02458"
"8600000US02459","02459"
"8600000US02460","02460"
"8600000US02461","02461"
"8600000US02462","02462"
"8600000US02464","02464"
"8600000US02465","02465"
"8600000US02466","02466"
"8600000US02467","02467"
"8600000US02468","02468"
"8600000US02472","02472"
"8600000US02474","02474"
"8600000US02476","02476"
"8600000US02478","02478"
"8600000US02481","02481"
"8600000US02482","02482"
"8600000US02492","02492"
"8600000US02493","02493"
"8600000US02494","02494"
"8600000US02532","02532"
"8600000US02534","02534"
"8600000US02535","02535"
"8600000US02536","02536"
"8600000US02537","02537"
"8600000US02538","02538"
"8600000US02539","02539"
"8600000US02540","02540"
"8600000US02542","02542"
"8600000US02543","02543"
"8600000US02553","02553"
"8600000US02554","02554"
"8600000US02556","02556"
"8600000US02557","02557"
"8600000US02558","02558"
"8600000US02559","02559"
"8600000US02561","02561"
"8600000US02562","02562"
"8600000US02563","02563"
"8600000US02564","02564"
"8600000US02568","02568"
"8600000US02571","02571"
"8600000US02575","02575"
"8600000US02576","02576"
"8600000US02584","02584"
"8600000US02601","02601"
"8600000US02630","02630"
"8600000US02631","02631"
"8600000US02632","02632"
"8600000US02633","02633"
"8600000US02635","02635"
"8600000US02637","02637"
"8600000US02638","02638"
"8600000US02639","02639"
"8600000US02641","02641"
"8600000US02642","02642"
"8600000US02643","02643"
"8600000US02644","02644"
"8600000US02645","02645"
"8600000US02646","02646"
"8600000US02647","02647"
"8600000US02648","02648"
"8600000US02649","02649"
"8600000US02650","02650"
"8600000US02651","02651"
"8600000US02652","02652"
"8600000US02653","02653"
"8600000US02655","02655"
"8600000US02657","02657"
"8600000US02659","02659"
"8600000US02660","02660"
"8600000US02663","02663"
"8600000US02664","02664"
"8600000US02666","02666"
"8600000US02667","02667"
"8600000US02668","02668"
"8600000US02669","02669"
"8600000US02670","02670"
"8600000US02671","02671"
"8600000US02672","02672"
"8600000US02673","02673"
"8600000US02675","02675"
"8600000US02702","02702"
"8600000US02703","02703"
"8600000US02713","02713"
"8600000US02715","02715"
"8600000US02717","02717"
"8600000US02718","02718"
"8600000US02719","02719"
"8600000US02720","02720"
"8600000US02721","02721"
"8600000US02723","02723"
"8600000US02724","02724"
"8600000US02725","02725"
"8600000US02726","02726"
"8600000US02738","02738"
"8600000US02739","02739"
"8600000US02740","02740"
"8600000US02743","02743"
"8600000US02744","02744"
"8600000US02745","02745"
"8600000US02746","02746"
"8600000US02747","02747"
"8600000US02748","02748"
"8600000US02760","02760"
"8600000US02762","02762"
"8600000US02763","02763"
"8600000US02764","02764"
"8600000US02766","02766"
"8600000US02767","02767"
"8600000US02769","02769"
"8600000US02770","02770"
"8600000US02771","02771"
"8600000US02777","02777"
"8600000US02779","02779"
"8600000US02780","02780"
"8600000US02790","02790"
"8600000US02791","02791"
"8600000US02802","02802"
"8600000US02804","02804"
"8600000US02806","02806"
"8600000US02807","02807"
"8600000US02808","02808"
"8600000US02809","02809"
"8600000US02812","02812"
"8600000US02813","02813"
